"Gene"	"logFC"	"AveExpr"
"Yap1"	1.1762496114766	3.76049506636688
"Lbp"	2.97664359599232	-1.90756205083409
"Txnip"	1.2874506457974	6.32422724218114
"Slc47a1"	4.86920917418849	1.04058068669456
"Sorcs3"	0.727266589745776	6.28034491105355
"Wnt6"	4.77642021628661	0.432708097566449
"Col23a1"	-1.79579341772645	3.46740314281007
"Sptb"	0.799778832344615	6.90948355681286
"Lrp4"	1.05604665018575	6.42716018548409
"Nacc2"	0.756065536414758	5.31817452991812
"Slc2a12"	3.73660272615434	2.24314922892009
"Fgl2"	2.64019919933221	1.95816182070142
"Pgpep1"	0.690955452317096	4.6347314498468
"Emilin1"	1.42087008865607	4.34352836736786
"Apoe"	0.783791804237329	10.5862837269634
"Rasal1"	-0.770109583201093	7.20043997916871
"Fam110b"	-0.5521894072133	6.35444449295233
"Uap1l1"	1.10545246744804	3.56835944633989
"Akt2"	0.549897957386802	5.99846002011025
"Lepr"	1.38171206961867	4.26874534030034
"Prokr1"	-3.98302566986164	-0.0524072260360706
"Ghr"	1.11206522253706	3.31716296265121
"Col6a2"	2.26293550742044	5.12512483260618
"Grb10"	0.812365368617913	6.1936983809292
"Irgm"	1.46861843435182	1.5815950332359
"Pde7b"	0.857787358998142	3.40018001859718
"Eya2"	3.67102541964806	0.566951057097498
"Parva"	0.935958423302297	3.47792246006452
"Kcnmb1"	2.57910916151965	-2.3239429399113
"Prrx2"	4.36930909454297	-0.63628143683573
"Mapk4"	0.479476128115194	5.87950084321146
"Smad6"	2.09112769339858	0.93428098420114
"Slc13a3"	2.37040985410358	5.05195240396786
"Fbln1"	2.35033605665728	4.8011745804009
"Prodh"	0.912394391251022	5.18987369552173
"Parp14"	1.27808277683756	3.42229367381117
"Serpinf1"	3.45114989145421	3.91950013597656
"Ucma"	-3.06544532416594	-1.23881398907062
"Msn"	1.02654775212996	4.66300845722252
"Pfkl"	-0.557989838336777	7.27716259306963
"Slc6a20"	3.1443653430273	3.70010847257713
"Fbn1"	1.37592834356566	5.30134601994192
"Zfhx4"	2.02475044603826	3.82443149747175
"Il6st"	0.6867537977798	7.1947064445788
"Slc7a2"	1.54537721928001	3.35740554659586
"Gdf11"	0.41146542746479	5.57946446972386
"P4ha3"	-1.69259289333504	2.49137206747724
"Idh2"	0.640817011803227	6.27795661318064
"Tgfbr2"	1.51945617949406	4.1757198955661
"Lrrk1"	1.15404508939612	3.27479729016759
"Anxa2"	2.53065278873148	4.72781826220259
"Ocln"	0.930926820638985	4.10659985260671
"Efemp1"	3.83991343971318	2.13543127674327
"Syt10"	-1.65652112698864	2.6596341769126
"Itgb1"	0.662490298811767	7.38841013632869
"Gpr81"	3.93062760099916	-0.541734225697596
"Sparc"	0.945863073727317	8.94320445600703
"Fam3c"	0.646804462082422	6.71763710091229
"Flnc"	1.54878061209786	4.53231452339381
"Thbs1"	2.6942920090878	4.34071226823512
"Hfe"	2.26078036574557	0.855273424961087
"Pttg1ip"	0.631728674422417	6.11984226435051
"Adamts12"	2.87465739638275	4.37074537519183
"Pde1a"	-1.08717019563328	6.69997588277195
"Olfml2a"	2.12960159762225	4.68770736688827
"Acss1"	0.726943713412725	5.78736937470034
"Cpz"	4.18631007870301	1.4620739286525
"Nfatc4"	2.30227942940863	1.66007010996027
"Slc35f1"	-0.660697337462055	7.09452781054732
"Acss3"	2.25180444704542	1.64471599904236
"Lama1"	1.79818249786196	4.45177652685721
"Lgi4"	1.10614786705493	3.89493495375917
"Notch2"	1.35868015458683	5.96697341877224
"Aass"	1.32828329165811	2.5439099980907
"Ncald"	-0.992995491068178	8.74441554757819
"Slc4a4"	1.06851475983236	6.55015554963177
"Ctsh"	1.03901439949132	5.46060880332809
"LOC499715"	-2.72189018504653	-2.55409030409797
"Ptpn14"	1.71849923883191	3.24487845607023
"Dsc2"	1.64965651657126	1.31853264306423
"Arhgap25"	-0.939317360053499	3.66617832598983
"Gatsl3"	1.68607738724784	2.22903666975504
"RGD1309821"	0.707570824277057	4.34980707787351
"Sorbs3"	0.94153070542819	4.38321414312364
"Msx2"	2.4631534722742	0.0415430738205607
"Zcchc24"	0.55865573151426	6.75791805304414
"Kcnj13"	4.67135367833263	0.089344417268304
"Mfap5"	3.45069615807038	-1.08564935344048
"Cpq"	1.18330474892583	3.62807641601945
"Scube3"	2.34373977458019	0.690859357007319
"Sdpr"	1.26772335267966	3.75689589161488
"Crispld2"	2.18582995474523	1.72460140668066
"Alx4"	4.02298339837965	-0.756088582618275
"Pgm5"	2.25396418949621	2.4354803533511
"Bin1"	-0.349552677844334	7.69955573183367
"Esyt1"	1.12701037168548	4.36541128016859
"Cald1"	1.22524961917862	4.64359031967941
"Krt8"	3.9600590489343	0.373489086206287
"Nnt"	0.728824666662455	5.65611543241394
"Tpbg"	-1.25459473124503	3.66540955506418
"Ahnak"	2.24651743004104	7.28162507851282
"Spag16"	2.23468772753646	-0.223208658633549
"Serpind1"	2.50987786133212	-2.44841392742099
"Slc41a1"	1.04967084295926	5.74378649967498
"LOC691083"	2.44972031157392	-2.55626859956601
"Aldh4a1"	0.501778306438139	5.00164041837094
"Vwf"	1.24550071472361	5.84846289954391
"Pbxip1"	0.884476823593235	5.7687498801227
"Ptk2"	-0.373191289414073	7.76760398560494
"Crym"	-1.90350892695416	7.91982333534158
"Egflam"	1.42223762326178	3.85476872021997
"Lonrf3"	0.860605238740611	3.65095069624597
"Rps6ka2"	-0.676135981860175	7.10475755741933
"Evpl"	3.26720546337557	-0.35533836934628
"Sfmbt2"	-1.15159493656534	2.68910151694925
"Tnnt2"	4.33148863615085	2.1186204032834
"Anxa1"	2.04804193718387	3.25023149266015
"Lix1l"	0.631968510811359	5.52009671325844
"Cxcl16"	2.27249440291199	2.09044375801377
"Prkd3"	0.782756967571182	5.34207973300955
"Tbc1d2b"	0.605726658568445	5.9082489123032
"Plod2"	0.939484612966639	3.5979043258132
"LOC100361083"	0.986523411671069	4.92588194652646
"Ctdsp1"	0.906189010830116	5.11060068321416
"Trib2"	-0.823111761722226	6.83860609180736
"Pald1"	0.662714432801104	4.63383549047205
"Eci3"	2.02062430267077	1.83536498153885
"Rhoq"	0.7955608794079	4.23727366842119
"Serpinh1"	1.48602832136326	6.35465649703866
"Rbp1"	2.09969025278261	3.28310604761662
"Galntl6"	-0.682432905508912	4.20443536011537
"Car13"	3.43221893353576	0.366229512101886
"Il11ra1"	1.0089855651113	4.14876444206997
"Slc22a8"	1.71661118746644	3.74802135086766
"Nuak2"	1.22339285524207	2.42081511299062
"Bace2"	1.37914872669212	2.47508494514071
"Sema4a"	-0.59866654408617	5.42975645174579
"Gpha2"	3.21553800044683	-2.2673849815994
"Btbd17"	0.677631696878801	4.59137644461564
"Tubb6"	1.71477983027035	3.94546327260398
"Agtrap"	0.862859707473337	3.82132161552995
"Ngef"	-0.999933289979218	7.55827007440689
"Hspb8"	1.36656669932339	3.58567668588742
"Ubash3a"	-2.54479815696813	-0.0435948384530939
"Parp9"	1.21245317988189	3.18690035360194
"Fgfr1"	0.772377298164705	6.16598534554454
"Bmpr1a"	0.616605682145911	6.23744416132675
"Timp1"	2.42726169227102	2.51137335865438
"Slc16a11"	2.12718571470853	4.19565169294609
"C4a"	1.28123231629919	3.52842041185758
"Kdelr3"	1.95389756370634	2.42429556601493
"Zhx3"	0.375758593402436	6.66617359298589
"Wnt2b"	2.5748430057733	0.190081656140365
"Lrrtm3"	-0.868155870701677	6.08947620716856
"Lmo2"	0.818490051793447	4.11922342698725
"Lifr"	0.633026099541583	5.32558242307226
"Fermt2"	0.421065397289038	6.93535409334407
"Adamts2"	1.40478899602922	4.26893423756606
"Cdc14a"	1.32504309978286	3.12217498652199
"Cdh5"	1.75859616912651	4.06183433467
"Aqp4"	1.01120768891733	8.30614314046174
"Adap2"	0.909116990455775	2.39078717487123
"Rin3"	1.31347051157004	2.00482147490504
"Crip1"	1.33174583718941	2.58565616686357
"Ednra"	1.29385513006977	3.23152223746625
"Ramp3"	-1.02286048301132	3.48395336526131
"Tcirg1"	0.772391650654154	3.70550296844869
"Rhbdf1"	0.781064288829646	4.03311741909284
"Bmp5"	3.92000077825347	0.42119534298308
"Cyp7b1"	0.902766013283309	3.93502383753499
"Sspn"	1.14962063433777	3.74658367685702
"Dusp27"	2.46263372103426	-0.528572029347431
"Trpv4"	2.27975203068127	-0.751456423031822
"Stambpl1"	-0.49350099689878	5.0081689081781
"Nqo1"	0.929551160863455	3.68950279525886
"Crtac1"	-0.66519520508741	6.30027028832636
"Ampd3"	0.654497174880433	5.42573501042181
"Sh3gl3"	-0.66989342380293	5.62229912604143
"Wls"	1.06059766731317	6.2795454937224
"Twist1"	2.51505845458687	0.806612162629714
"Palmd"	0.65241933224487	4.81959945646896
"Pcp4"	-1.05981328360917	7.09780270332538
"Gstm2"	3.85861916390603	2.01420510829029
"Rhoj"	1.33763177049561	2.87365809414371
"Map7d3"	2.5347955465177	0.0383343318184089
"Fibin"	2.74271967994514	1.43486310185059
"Rbms1"	0.974654037781198	3.57655059748409
"Prickle1"	-0.776200786120945	6.66836327759721
"Trim25"	1.41676821002138	2.31631860614536
"Flna"	0.865897247042132	7.77549760645074
"Cars"	-0.346144615236238	6.74924308124724
"Swap70"	0.715332596350708	4.37750494562594
"Ajuba"	1.1087775699894	2.92643646275079
"Slc5a6"	0.66422547599582	5.99847706492083
"Rgs9"	-2.07747060457481	2.47023463761618
"Rftn1"	-1.26932594701496	4.01027919842945
"Tmem37"	2.48634405767345	0.406506752297878
"Ccdc80"	1.58720749015984	4.25063370226368
"Bcl11b"	-0.971114655779455	6.51345682979888
"Rasgrp1"	-1.89787561507009	6.78096625227786
"Shisa3"	4.37696008418789	0.875626542724932
"Asgr1"	2.63999598296207	-0.00151229956374284
"Stra6"	2.04571556983295	1.20210438372928
"Pld2"	0.710173964941259	5.2283048382613
"Cdc42bpg"	1.17931973059469	2.80900089789818
"Chrdl1"	1.15857488824299	3.3448218831598
"Id3"	1.44793099958902	5.5018632833456
"Fxyd5"	1.52645667928557	3.83900576507747
"Limd1"	1.01204711352409	3.9458538681857
"Lpar3"	2.75367409070833	-0.421546169432759
"Gpc3"	2.93034615757912	4.56437225592395
"Col26a1"	2.16175406405131	3.47144158704659
"Cckbr"	-0.959198670752217	4.42893475103466
"S100a11"	1.93064471086732	1.62927120980657
"Pkhd1l1"	2.91571772903366	0.225039756115397
"Kif1c"	0.626111625338301	6.56459843299356
"Sox13"	1.13798026488386	3.39734062651665
"Actr3b"	-0.565526260420605	6.58039528474638
"Ccdc8"	0.939805794153078	3.80379555299595
"Tnfsf13"	1.29307933780222	3.05060703152723
"Prr16"	1.08496238106962	2.74923640877586
"Abca1"	0.817860775527154	6.52337990219376
"Efhd2"	-0.725903245856501	6.7914156617344
"Cck"	-1.39203072524716	7.42173436580215
"Rspo2"	-1.36891812892117	3.63402675165606
"Gabra3"	-0.869010930026239	6.30232124696744
"Rab11fip1"	2.04255474716766	1.02637061905687
"Bmp15"	2.8491580653108	-0.878304129979625
"Tinagl1"	1.41235985960663	2.31456102092099
"Tek"	0.94580181954485	4.96062267723491
"Foxc1"	2.08271363803716	3.31830036867742
"Pdgfrl"	3.21963245228544	1.29085809514489
"Sned1"	3.16380513984099	4.29425903542481
"Col1a2"	3.9575251295083	-0.336038576401424
"Irs3"	1.78068642442958	0.28869476777477
"Dab2"	2.24885493772547	4.6733352290368
"Ppfibp1"	0.669177237890072	6.71348091857636
"Nppa"	-1.95050327393929	0.97800551859625
"Emp3"	2.45485221407054	1.87293898541417
"Cfb"	2.27994171719703	2.61251027787834
"Aldh7a1"	0.484136620289175	5.8356675992967
"Dock1"	0.694905275575856	6.13677672371615
"Vcsa1"	-2.65151279496413	-2.3517751577863
"Tfcp2l1"	1.36400279760538	1.57904158535764
"Erbb2"	1.22216151620967	2.3072230115868
"Enpp1"	1.43916005926123	1.86111987654914
"Mrvi1"	2.04021537091643	1.83543165662905
"Thbd"	2.85278739773912	3.73777752188008
"Slc19a1"	0.713844828717149	3.79778655297145
"C1qtnf3"	3.93772939260099	0.338491619862683
"Mgp"	2.54109426231672	2.31831512144705
"Rab38"	-2.06472102152375	0.847352426923768
"Aldh1a3"	3.15651670213604	0.358181616811681
"Aox1"	2.15799407041824	2.75336131342762
"Mrgprf"	4.19652133507613	0.314999259528291
"Rxfp1"	-1.40147309706916	2.88409544603443
"Cebpa"	0.982318219272935	2.48647228450797
"Fstl4"	1.17325001345748	3.77183711256192
"Tcf12"	0.542418990650034	5.72455414184326
"LOC100360552"	2.67852850860729	1.98452051569341
"Tead3"	1.33619676064088	1.46590622138943
"Ap2a2"	-0.25511974365211	9.08514375034473
"Map3k1"	0.923767945051317	3.57653145872895
"March3"	0.934921717645992	3.11479354245133
"Pcolce"	3.03197867150231	2.62058582740696
"Appl2"	0.728135655478977	4.08450074791682
"Fap"	-2.44566764632461	2.62683461270131
"Card6"	1.40262306551035	2.48949347702877
"Aoc3"	2.67871959862135	0.120926082393331
"LOC688090"	2.58911716118377	-2.25370869357088
"RT1-Bb"	2.58911716118377	-2.25370869357088
"Calml4"	2.69738151651063	0.471205510308163
"Tspan8"	2.1688806855025	2.44767677937039
